sample,serum,library,date,serum_dilution,percent_infectivity,R1,SRA_accession
L4-HC070097a,HC070097,lib1,10/18/19,0.0002807,8.1,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L4-HC070097a/*R1*.fastq.gz,
L4-HC070097b,HC070097,lib1,10/18/19,0.000401,1.77,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L4-HC070097b/*R1*.fastq.gz,
L4-HC150036,HC150036,lib1,10/18/19,0.00075,0.9,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L4-HC150036/*R1*.fastq.gz,
L4-HC150044,HC150044,lib1,10/18/19,0.00075,3.87,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L4-HC150044/*R1*.fastq.gz,
L4-VIDD4,VIDD4,lib1,10/18/19,0.001,10.47,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L4-VIDD4/*R1*.fastq.gz,
L5-VIDD4-July,VIDD4,lib2,10/18/19,0.001675,1.31,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L5-VIDD4-July/*R1*.fastq.gz,
L6-HC070021,HC070021,lib3,10/18/19,0.0008,0.93,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC070021/*R1*.fastq.gz,
L6-HC070041a,HC070041,lib3,10/18/19,0.00075,9.99,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC070041a/*R1*.fastq.gz,
L6-HC070041b,HC070041,lib3,10/18/19,0.0009375,3.43,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC070041b/*R1*.fastq.gz,
L6-HC070097a,HC070097,lib3,10/18/19,0.000401,3.36,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC070097a/*R1*.fastq.gz,
L6-HC070097b,HC070097,lib3,10/18/19,0.00048,4.47,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC070097b/*R1*.fastq.gz,
L6-HC150036a,HC150036,lib3,10/18/19,0.001125,9.42,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC150036a/*R1*.fastq.gz,
L6-HC150036b,HC150036,lib3,10/18/19,0.0015,0.56,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC150036b/*R1*.fastq.gz,
L6-HC150044,HC150044,lib3,10/18/19,0.0015,5.66,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-HC150044/*R1*.fastq.gz,
L6-VIDD4,VIDD4,lib3,10/18/19,0.00375,0.3,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_L6-VIDD4/*R1*.fastq.gz,
Lib4bmock1018,mock,lib1,10/18/19,,,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_Lib4bmock/*R1*.fastq.gz,
Lib5mock1018,mock,lib2,10/18/19,,,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_Lib5mock/*R1*.fastq.gz,
Lib6mock1018,mock,lib3,10/18/19,,,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_Lib6mock/*R1*.fastq.gz,
WTplasmid1018lib1,plasmid,lib1,10/18/19,,,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_WTplasmid/*R1*.fastq.gz,
WTplasmid1018lib3,plasmid,lib3,10/18/19,,,/fh/fast/bloom_j/SR/ngs/illumina/reguia/191015_D00300_0838_AH5HC7BCX3/Unaligned/Project_reguia/Sample_WTplasmid/*R1*.fastq.gz,
